name,acronym,base_pr,origin,seed
 T1 , T1 , 5.10 , LCK , 2.00 
 Team Liquid , TL , 13.10 , LCS , 3.00 
 Cloud 9 , C9 , 11.30 , LCS , 2.00 
 Mad Lions , MAD , 12.50 , LEC , 3.00 
 Gen.G , GEN , 3.60 , LCK , 1.00 
 GAM Esports , GAM , 15.30 , VCS , 1.00 
 JD Gaming , JDG , 2.40 , LPL , 1.00 
 Team BDS , BDS , 13.40 , LEC , 4.00 
 G2 Esports , G2 , 8.20 , LEC , 1.00 
 Dplus KIA , DK , 8.00 , LCK , 4.00 
 NRG , NRG , 11.30 , LCS , 1.00 
 Weibo Gaming , WBG , 7.20 , LPL , 4.00 
 Fnatic , FNC , 12.00 , LEC , 2.00 
 LNG Esports , LNG , 5.20 , LPL , 3.00 
 Bilibili Gaming , BLG , 4.60 , LPL , 2.00 
 KT Rolster , KT , 6.10 , LCK , 3.00 
